,ra,dec,parallax,pmra,pmdec,radial_velocity
67,280.0443514132628,-59.986773607398426,0.8353879364093326,1.400690259541087,-7.813201957878412,-71.62637380693933
285,279.9464323397534,-60.04278922488428,0.5868064765854049,3.602974651353955,-2.3825092398926895,-58.04484135780032
694,279.8481445124745,-60.01271203267418,3.1549659102081264,0.1270437823441446,-48.43112198903712,-49.21263319282142
800,280.1371827541352,-59.953960503759134,0.3026003895411678,1.1576749714195573,-10.576928669637885,-33.25394476348186
1226,280.164928665569,-60.060502001789054,3.8036252263874535,-0.9861176189514904,13.783534396900466,17.256314921055587
1238,279.81865476884315,-59.95162728705952,1.0961274181826202,0.4639009367796762,-2.558088000796314,-35.038025918687694
1322,279.88379387992325,-59.910825483768484,1.8172844485107005,-8.050351287990958,-19.134266733581054,-13.6272702417244
1536,280.12410551591665,-60.09619568747712,3.8031798624914477,30.327932805208246,-57.588234481444715,-12.030830168489677
2146,280.2563076775877,-59.95429078787761,1.284120021645406,10.207193649881816,-10.808214778168102,-47.86603848024811
2160,279.73330357116623,-59.9707406310379,3.1638521665947783,2.3068554777043135,16.385181876436146,11.377769831732007
2493,280.23644654049394,-59.91299912583865,4.909684628540525,4.474860646108418,-14.236112710019107,-7.157691958716829
2520,280.1838877729295,-59.88438116481173,1.0396543806486314,-1.9847197986944913,-11.84472289763498,-45.718290559490384
2703,279.7210609276552,-59.9386188132834,1.2922170010112064,1.0400911159242074,3.316441362794542,-16.397430649142457
2706,280.2931095231706,-59.957657595162196,3.3569283955944034,4.37886782429099,-10.027593023697209,-23.792227334861078
2744,279.71751789605844,-59.94008807606276,,,,-16.56194022895147
3065,279.6772281437963,-60.01995850792871,0.874358300121369,3.492918155495712,0.276511558913859,-44.219736048236406
3294,279.6635044068086,-60.018179788683646,2.100545576225193,8.361788800773684,-35.335144740231314,-45.171268668015244
3426,279.6784437848555,-59.93622630609824,0.7183397847409511,-0.1226816023701392,-3.1321837329012046,17.991814378432615
3688,280.253424913384,-60.127139959989044,0.5852343983886019,-8.186106374099834,2.804387798947314,-13.942078219049948
4180,279.6346027376879,-60.055811578993044,1.0030726422685448,5.701548040992657,-13.261482021378782,-37.11842333946039
4337,279.8933805121369,-60.187042236263125,2.2429856711666254,6.9651949057227425,-10.959353657143378,-59.592976299480796
4379,279.7077725106762,-59.8705042169192,0.13804864414994644,-2.3619278540478423,-7.686287880660248,-59.38564504378469
4432,280.29004948416974,-59.86796497272306,1.0987382362208593,9.073018204143938,-32.951497376419255,-110.67282743333331
4451,280.0295195956149,-59.80363634886243,2.1253332653015247,6.062133324509244,-15.261306445144632,-43.02685589500068
4467,280.1288545254791,-60.18646195467196,0.32139273309831673,-3.3480662204819662,-4.99948522101144,-60.61449968386048
4480,279.661658443316,-59.89849195417529,4.1126510896173585,-3.431773401375036,31.238177823199536,42.47571082668836
4588,280.11062628748243,-59.80801465453969,0.23289523192015232,0.9556574968509841,-3.4492485314589048,22.306728876858834
4640,279.6693053562495,-60.114986046291115,0.3188822983612361,-2.0084616624204665,-1.8154644630183128,60.61755374450001
4649,279.60682251927665,-59.956577371400115,2.717008684979081,0.9648158078396009,-11.589394484228785,-6.575959713956255
4821,280.1547280060779,-60.19004959525183,3.333002482266823,1.7308507448777333,9.908030513867931,3.7578304964621623
5001,280.340928489282,-59.879611806490395,0.3022866736493862,-1.2842745542070158,-13.816710508497344,-14.637178736039711
5005,280.3074513455744,-60.14192258295354,0.6562536531232489,0.35706378572435815,-15.774639931134132,-82.22744549419058
5082,280.31598852324413,-60.13899898059802,2.7902152817890937,-4.106419503997342,-14.328984185349665,-36.65644233092142
5083,280.2866508905764,-60.15407518745054,0.4076371241481588,-2.139625355316926,-0.5777938614135402,-16.33392368696925
5085,280.32024287628917,-59.86416657110284,1.0231507490309142,-3.4099515924633064,-3.7997858987813666,18.74146786562403
5313,279.96330869017396,-60.21381420159909,2.3876577690246132,-0.027494540625719432,-6.1661369935911265,15.918526781856041
5469,280.4147550324107,-60.06692651833045,6.379314637980535,-5.968799781365436,-45.11500180648969,-32.675751630948525
5473,279.5647766220631,-60.0085615424209,1.3567391753642875,0.5368571132194582,-6.567233497782109,0.6119181616291911
5704,280.4323370296257,-59.947466987182885,0.13159277363108293,-5.381599998498495,-6.022515884801825,98.18001661185616
5762,280.40163198338985,-59.90263491734381,1.7917218946092814,-2.4996855275998593,-8.755402930463665,18.262574746103752
6108,280.0844332016214,-60.226379159929095,4.355378280560034,-13.852285565761076,-56.801033562448865,-3.894919833234244
6182,279.5429683893319,-59.963172289895546,0.40869857429323564,1.1680880319933826,-9.278621919061234,-27.77852859564357
6244,280.2901372308655,-59.81819442445804,2.9714698003677142,-6.791322229171165,-24.804618951095744,14.994990443979873
6722,279.67385519387057,-60.17836987610504,1.8510454997759798,-0.9647163449859584,9.61063024554667,-12.02417889016442
6929,280.12569969524253,-59.76287403321806,0.5266426967786405,4.619905555659262,-19.194655347195468,43.42659151271336
7026,279.80060419942146,-60.22653649674033,2.62157904613274,4.29702898034077,-26.318971515561575,-15.922297134896713
7295,279.69237024236156,-59.80054695825015,1.6583871154048662,1.0982928465831419,-1.5896786412880592,-0.3270242397574581
7757,280.22039177221524,-60.23782634371519,0.9070639814713412,0.1232723679113018,-4.673112304775771,-34.455670486545046
8044,280.0442739877298,-60.26697195846041,0.33413463191072257,1.1511074079238766,2.1782297224924494,-29.748194083486723
8265,280.147426850511,-59.73725689165011,0.7387038288867162,-6.250973666391423,-7.331708714570349,4.353178901838648
8556,280.1114857571101,-59.726633943617216,1.7841674282940978,-0.02426706828733627,-21.243345860984263,-38.92953314121512
8584,280.4216819844549,-59.81670182309706,7.642249955535467,-4.685982783143456,-51.1146141964127,-17.001118550840218
8622,279.63130394188187,-60.212466421188594,7.865393769617149,18.745239904305723,10.018235210058467,25.482963820447928
8936,280.4878019155367,-60.153609419467614,1.5640779263244855,-10.72809459789228,-15.099607657837923,12.215879548890054
9034,279.78026241156886,-59.7311916292835,0.46671992157501346,6.517362722574611,-5.1659990643441915,-0.8940616766838634
9142,280.454162563857,-59.81590912492554,0.3656973972332455,0.9843916107024889,-4.096178750547525,-99.98716092240127
9184,279.58950792457523,-60.21066750057318,1.9360944774437678,10.422444335813516,9.854117946946989,38.77481922650609
9197,279.61986407951696,-60.224629136144806,1.0870242327981121,-17.23512153806986,-15.035964101752784,-44.543330174341165
9382,280.46482333010914,-59.81444568380546,0.9364824578971757,-4.145973291975654,-10.157019313842955,32.31961681199732
9719,279.662776267113,-59.74537653651001,4.224904877086293,14.878180391822475,11.155075374341823,15.002242582448368
9720,280.1909528336001,-60.29066349933233,0.08732039949444408,-2.132934685164259,3.543260893784189,121.31262556475585
9940,280.4482201702058,-59.78539670343125,0.8190972031400252,-3.0659276342726915,-17.382433112029993,-18.293807060041722
10055,280.0268440461969,-60.313157234863375,2.4681516611968393,-16.166912192530404,-57.83382823761234,-88.43368635598164
10304,280.1094106641661,-59.68513035297046,2.0050925067086287,0.39757285648757357,-16.169648389909675,-11.559236053128725
10800,279.5816390990648,-59.742192268576765,2.4819689797885607,-19.83741018258771,-14.273522936376175,4.072904459008317
10898,279.59903727487716,-60.269382546699646,0.3423008535443045,2.942612927616798,-9.00071464569964,-57.14023330226978
10984,280.3966781199877,-59.727841135896504,0.48833360497579376,-17.181042052075323,-3.4143365644554424,117.15332969668405
11032,280.1658281958884,-60.32810921549995,1.1323578248314783,-4.353969785155707,-8.669480719511746,-16.50664854839653
11045,279.53187121028986,-60.24563530570709,0.25773227508964736,-0.1993424741636416,-4.032122587581327,40.25672544404019
11177,279.9281792950487,-60.33992757425526,3.1898349034885807,0.4476454622697066,-54.61240798805459,-8.23491375948388
11279,279.53453271478855,-60.25500235762577,0.27810255958392505,1.475676389023415,-11.132143264815408,13.993645269446864
11329,280.3148649138454,-60.30825578063142,1.6658306723363128,-26.3854276334618,-21.842088347385996,-16.502717545103987
11423,279.79812616766225,-59.66694780275736,1.4444774796790805,3.882019711122025,-22.81279527792796,30.71450921891707
12178,279.53962080038406,-59.71461506921412,0.2974227279615454,1.3481587785004945,-7.155416985482144,-24.44968627453476
12245,280.1650809856105,-59.64052715332915,3.406882658476127,-29.040684625885813,-35.940801611376116,27.366931403316258
12367,280.3942619661936,-60.31545307553212,1.2099643795443331,22.8721138998817,-27.86240976813867,-35.428134673552535
12387,279.6559832146563,-60.33045419781694,2.7425200354233987,-12.55774415152633,-4.351697827188089,20.33628307408456
12406,280.32935880895326,-60.334596468906234,0.4052146700306466,1.795172904616671,0.6030959677475621,-13.007356804183365
12573,279.8301466983998,-59.6331777495308,0.6786433063864443,-0.37142216082161733,-2.2294731403700205,11.758188916635282
12576,279.5650705670223,-59.69301746267445,2.6417812520781467,21.74727610283856,-14.272510758493096,-2.4066981593238452
12907,279.97835315351546,-59.61560083277078,0.5657604880051937,4.295754579440126,-1.4983893124546808,-58.98836652063224
12931,279.67015731501164,-60.34838411319024,0.4956565467406638,-19.24493518400974,-1.7062728606579993,185.9318151079132
13001,280.22230152398254,-60.370707255085215,0.666784888056677,9.731910698888045,-9.174806483127188,-43.91663292447902
13573,280.1842426301863,-60.390156205377316,1.3146894581816113,-12.927469589287153,-10.295586611298901,-59.93152476273117
13734,279.71965177700264,-60.37983750868911,1.2471318815577428,-5.824782473934398,-20.044913964668375,8.227658766776885
13958,280.40484521535586,-59.64351648851543,0.4242772391728906,5.04907176195641,-7.341508401659874,-42.171914973429224
14178,279.7937577519108,-60.403522743262116,2.587300907218107,-7.247961017439373,-25.96200704849418,-4.57424316428061
14322,279.88074663916115,-59.58401289643624,0.291214436655911,-0.6229592237605049,-2.7023786590875734,5.754963176185383
14384,280.48099057100865,-59.65372157660948,0.580407840884129,0.45875214392595387,-2.8995710880979373,-24.612877543877374
14717,280.17499268492116,-60.421419776906625,0.9327088791414966,6.724962957272004,-14.53490066510234,10.154699021572263
14754,279.72363368154237,-59.591621354007664,8.162303605663011,8.144062142890357,-74.79136931268138,-7.34116801685402
15641,279.9162444972015,-59.5466211805436,0.879511007607951,-0.8778159792061722,-6.856382315632748,14.94900642333446
15722,279.99206142732965,-60.45811099396829,2.5755163507085346,9.829263244625055,5.943497118063014,13.959477360514807
15813,279.85841650679333,-60.45514805073264,2.634791578583831,-11.477615997215084,-15.065505716935956,-57.648048228465704
15822,280.33175638375997,-60.430372875794795,25.955042950184378,-43.7698850527173,-120.18775211662616,41.64392820700958
15824,280.37257705503214,-60.42205795098869,0.4109519196642891,3.9293367270946273,-6.205395621988437,13.099725825219338
15890,280.276752038405,-59.55927396541641,,,,17.12300076248501
16170,279.9501972895157,-60.46820970587145,0.46475951065034815,3.2376635859444374,-16.470253552457667,62.31875531646409
16363,279.70100397771716,-59.55043309461235,0.6093186121205872,0.7750329640684486,-3.5747852620900424,-40.044385554493275
16374,280.2631740004317,-59.54449124511668,0.5925512077731275,1.961097479983115,-6.516232775305309,31.146256114297355
16455,280.1536687836345,-59.53006402171819,-4.915771626037854,28.517699859758608,-12.279739773274443,30.2945751498551
16570,280.0805228038049,-60.47717580095715,2.26265730947625,-4.397993916641894,0.23686664123576887,13.692460479223783
16673,280.4963900757895,-60.41351477565369,0.32957044023484894,1.3019519890659392,-9.162813215351841,-6.237561334879562
16741,280.3582361389713,-59.551509531116224,4.291956870719469,-32.60881464485059,12.742059337781779,52.22739242266714
16848,279.9747425738156,-60.486078921985,0.9755643795924686,6.262814978811808,-8.669903648859872,-30.353303588946098
17348,280.469561041042,-59.560347326129204,2.802913514480553,-3.960680982862355,8.84224644670752,-6.623459193047959
17731,280.46353708937454,-60.4583469171708,0.7819029150907846,-1.091007970730216,-9.812350646620086,8.074361736586447
17901,279.593104284936,-59.519706189985634,0.7488178487925771,4.154633572510674,-2.4184637687340245,-4.534296701065445
18046,279.5819844420287,-60.49071437653333,2.2655618886308617,-10.203889935132835,-30.98010660777973,15.270335716587383
